Overall_Ranking,City,Country,Region,Five,Four,Three,Two,One,Hostel,Average,Airbnb_Price,Airbnb_Ranking,Localized City Name,Latitude,Longitude,Year
27,Aberdeen,United Kingdom,Europe,445,117,93,71,64,45,100,209,35,Aiberdeen,57.1526,-2.11,2014
120,Alicante,Spain,Europe,164,72,44,43,41,17,53,,,Alacant,38.345278,-0.483056,2014
16,Amsterdam,Netherlands,Europe,292,162,144,127,107,32,120,,,Amsterdam,52.37,4.89,2014
146,Antalya,Turkey,Middle East,70,53,39,35,25,25,39,56,17,Antalya,36.89,30.7,2014
61,Antwerp,Belgium,Europe,199,116,100,77,60,24,77,,,Antwerpen,51.22,4.42,2014
130,Athens,Greece,Europe,138,80,56,44,32,14,47,56,15,ï¥ïôïåï_ï±,37.98,23.73,2014
54,Baden-Baden,Germany,Europe,219,152,103,60,41,32,83,,,Baden-Baden,48.762778,8.240833,2014
145,Bangkok,Thailand,Asia,157,79,41,30,29,12,39,41,4,_ôÅ_ô£_ôô_ô___Ñ_ô‹_ô__ôç_ô‰_ô__ôé_ô†_ô£,13.75,100.52,2014
52,Barcelona,Spain,Europe,242,118,100,82,62,22,85,,,Barcelona,41.4,2.17,2014
129,Beijing,China,Asia,130,81,54,44,27,10,47,,,‘Ô‹__Î‘ô_,39.92,116.43,2014
73,Belfast,United Kingdom,Europe,142,118,87,60,26,17,73,,,Belfast,54.597,-5.93,2014
142,Belgrade,Serbia,Europe,159,85,47,35,24,12,41,44,7,_¥_µ____ÜÑ_ç_â,44.81,20.47,2014
92,Benidorm,Spain,Europe,184,119,74,67,44,29,66,,,Benidorm,38.534167,-0.131389,2014
100,Berlin,Germany,Europe,160,90,68,59,49,17,64,,,Berlin,52.52,13.38,2014
24,Bern,Switzerland,Europe,307,159,130,104,87,41,104,,,Berne,46.95,7.45,2014
99,Bilbao,Spain,Europe,115,81,65,54,50,20,64,,,Bilbo,43.256944,-2.923611,2014
56,Birmingham,United Kingdom,Europe,167,107,77,49,36,21,80,191,30,Birmingham,33.52475,-86.81274,2014
125,Bogota,Colombia,South America,119,90,52,34,33,11,49,,,BogotÕç,4.598056,-74.075833,2014
6,Boston,United States,North America,252,183,155,128,102,42,147,274,40,Boston,42.3216,-71.08911,2014
135,Bratislava,Slovakia,Europe,123,69,56,40,29,12,45,,,Bratislava,48.143889,17.109722,2014
87,Bremen,Germany,Europe,118,105,86,64,54,21,68,,,Bremen,53.083333,8.8,2014
41,Bristol,United Kingdom,Europe,238,107,92,75,69,25,91,179,29,Bristol,51.45,-2.583333,2014
12,Bruges,Belgium,Europe,326,221,162,157,96,26,131,,,Brugge,51.216667,3.233333,2014
66,Brussels,Belgium,Europe,145,99,88,74,74,29,75,,,Bruxelles-Brussel,50.83,4.33,2014
144,Bucharest,Romania,Europe,108,69,50,33,22,17,39,44,6,Bucure_éti,44.44,26.1,2014
136,Budapest,Hungary,Europe,146,74,47,47,26,15,44,59,20,Budapest,47.5,19.08,2014
109,Buenos Aires,Argentina,South America,230,123,71,53,39,14,60,,,Buenos Aires,-34.5875,-58.6725,2014
108,Cagliari,Italy,Europe,125,85,64,60,44,17,60,,,Casteddu,39.227778,9.111111,2014
147,Cairo,Egypt,Africa,150,67,45,40,12,6,38,57,18,À_»†»_À_»_À±À©,30.05,31.25,2014
11,Cancun,Mexico,South America,321,267,167,66,42,14,134,247,39,CancÕ_n,21.160556,-86.8475,2014
31,Cape Town,South Africa,Africa,285,213,102,80,58,17,99,,,Kaapstad,-33.91667,18.41667,2014
33,Chicago,United States,North America,303,138,125,85,74,25,97,,,Chicago,41.84068,-87.67937,2014
96,Cologne,Germany,Europe,133,90,76,64,41,21,64,,,KÕ_ln,50.95,6.97,2014
44,Copenhagen,Denmark,Europe,203,133,105,84,64,30,89,,,KÕôbenhavn,55.71,12.56,2014
94,Corsica,France,Europe,220,105,81,65,44,14,65,,,Corse,42.15,9.083333,2014
131,Crete,Greece,Europe,148,80,60,44,22,12,46,57,19,ï_ñÅïåñ†ïˆ,35.21,24.91,2014
101,Delft,Netherlands,Europe,100,98,98,66,52,26,64,41,3,Delft,52.016667,4.366667,2014
114,Dortmund,Germany,Europe,118,81,74,62,50,14,56,56,14,Dortmund,51.516667,7.466667,2014
8,Dubai,UAE,Middle East,311,204,162,135,84,40,142,226,37,ÀËÀŒ»_,25.27,55.33,2014
21,Dublin,Ireland,Europe,236,154,132,119,105,16,108,,,Baile ÕÅtha Cliath,53.33,-6.25,2014
115,Dusseldorf,Germany,Europe,189,78,61,57,39,24,56,,,DÕ_sseldorf,51.233333,6.783333,2014
35,Edinburgh,United Kingdom,Europe,255,152,108,65,57,25,95,,,DÕ_n Õ_ideann,55.953056,-3.188889,2014
95,Essen,Germany,Europe,128,84,73,61,55,29,65,,,Essen,51.450833,7.013056,2014
133,Faro,Portugal,Europe,76,71,44,40,35,17,45,,,Faro,37.033333,-7.916667,2014
47,Florence,Italy,Europe,381,123,100,79,71,25,87,,,Firenze,43.783333,11.25,2014
105,Frankfurt,Germany,Europe,157,80,64,56,50,21,62,,,Frankfurt am Main,50.116667,8.683333,2014
19,Geneva,Switzerland,Europe,391,158,150,125,96,39,115,,,GenÕŒve,46.2,6.15,2014
50,Ghent,Belgium,Europe,158,117,101,84,66,29,86,,,Gent,51.05,3.733333,2014
46,Glasgow,United Kingdom,Europe,144,118,84,71,71,22,88,,,Glasgow,55.83333,-4.25,2014
86,Groningen,Netherlands,Europe,176,112,84,84,30,31,68,,,Groningen,53.216667,6.566667,2014
62,Haarlem,Netherlands,Europe,141,127,86,69,60,35,77,,,Haarlem,52.383333,4.633333,2014
59,Hamburg,Germany,Europe,177,114,90,75,37,24,78,,,Hamburg,53.55,10,2014
149,Hammamet,Tunisia,Africa,82,48,47,31,16,21,35,46,8,À_»€À_»€À_À_,36.4,10.616667,2014
60,Helsinki,Finland,Europe,168,101,98,81,69,27,77,,,Helsinki,60.17,24.94,2014
15,Hong Kong,China,Asia,347,192,159,154,97,26,125,,,_ô_èèË____ç¥‘€±‘êÔ‘ÒÊ__é_ôËç__‘_‚èçÔ_Óè‘çÑ,22.25,114.16,2014
79,Ibiza,Spain,Europe,213,118,110,44,31,29,71,,,Ibiza,38.908889,1.432778,2014
34,Innsbruck,Austria,Europe,244,148,123,79,57,37,96,,,Innsbruck,47.266667,11.383333,2014
85,Istanbul,Turkey,Middle East,136,101,72,62,56,19,68,,,—çstanbul,41.03,28.95,2014
42,Jerusalem,Israel,Middle East,609,150,109,95,80,21,91,,,À_»†»_»èÀËÀ_,31.78,35.22,2014
140,Kiev,Ukraine,Europe,253,76,40,31,21,9,42,,,___ôÜ‹__,50.44,30.52,2014
137,Kuala Lumpur,Malaysia,Asia,120,84,44,31,28,9,43,,,Kuala Lumpur,3.166667,101.7,2014
29,Lagos,Nigeria,Africa,314,238,119,33,31,21,100,,,Lagos,6.45,3.4,2014
91,Las Palmas,Spain,Europe,338,129,75,56,50,25,66,,,Las Palmas de Gran Canaria,28.15,-15.416667,2014
26,Lausanne,Switzerland,Europe,368,150,123,102,80,40,101,,,Lausanne,46.519833,6.6335,2014
74,Leeds,United Kingdom,Europe,477,97,88,59,57,25,72,,,Leeds,53.799722,-1.549167,2014
75,Leuven,Belgium,Europe,112,98,81,75,67,29,72,,,Leuven,50.883333,4.7,2014
58,Liege,Belgium,Europe,147,101,93,90,58,29,79,,,Luik,50.633333,5.566667,2014
57,Lille,France,Europe,172,155,86,72,61,26,79,,,Lille,50.63,3.07,2014
98,Lisbon,Portugal,Europe,189,105,76,61,49,21,64,,,Lisboa,38.72,-9.14,2014
18,Liverpool,United Kingdom,Europe,235,184,132,109,90,29,117,,,Liverpool,53.41667,-3,2014
102,Ljubljana,Slovenia,Europe,199,101,80,56,51,15,63,,,Ljubljana,46.055556,14.508333,2014
14,London,United Kingdom,Europe,430,214,153,123,79,34,130,176,26,London,51.5,-0.12,2014
119,Lourdes,France,Europe,200,109,62,37,30,20,54,,,Lourdes,43.1,-0.05,2014
49,Luxembourg,Luxembourg,Europe,154,111,90,84,81,29,87,,,LÕ‰tzebuerg,49.61,6.1333,2014
76,Lyon,France,Europe,173,98,80,73,66,32,71,,,Lyon,45.75,4.85,2014
3,Macao,China,Asia,353,247,193,162,155,35,168,213,36,_ô_èèË____ç¥‘€±‘êÔ‘ÒÊ_____Ñç__‘_‚èçÔ_Óè‘çÑ,22.166667,113.55,2014
123,Madeira,Portugal,Europe,207,90,60,50,44,34,52,35,2,Madeira,32.651111,-16.909722,2014
69,Madrid,Spain,Europe,232,95,93,75,55,20,74,,,Madrid,40.42,-3.71,2014
113,Malaga,Spain,Europe,226,101,60,51,39,16,57,,,MÕçlaga,36.719444,-4.42,2014
80,Mallorca,Spain,Europe,265,120,79,53,49,35,70,,,Majorca,39.616667,2.983333,2014
28,Manchester,United Kingdom,Europe,226,140,110,88,86,24,100,,,Manchester,53.5,-2.22,2014
128,Marrakech,Morocco,Africa,199,84,50,41,37,10,48,,,»€À±À_»óÀâ,31.63,-8,2014
81,Marseille,France,Europe,212,112,81,69,54,19,69,,,Marseille-Aix-en-Provence,49.56,1.96,2014
25,Melbourne,Australia,Australia,206,165,117,110,66,27,102,,,Melbourne,-37.81,144.96,2014
139,Mexico City,Mexico,South America,139,79,51,21,17,14,42,,,Ciudad de MÕ©xico,19.5,-99.12,2014
4,Miami,United States,North America,680,311,216,130,102,52,167,193,31,Miami,25.78768,-80.22414,2014
78,Milan,Italy,Europe,403,98,73,61,54,22,71,,,Milano,45.48,9.19,2014
77,Modena,Italy,Europe,123,109,87,70,46,22,71,,,Modena,44.65,10.933333,2014
93,Mons,Belgium,Europe,102,99,85,75,61,24,66,50,10,Bergen,50.45,3.95,2014
10,Monte Carlo,Monaco,Europe,509,268,160,118,31,24,134,202,33,Monte-Carlu,43.739722,7.427222,2014
55,Montreal,Canada,North America,172,157,112,66,62,20,82,,,MontrÕ©al,45.5,-73.566667,2014
84,Moscow,Russia,Asia,167,96,70,56,54,15,68,,,_Ò__ÜÅ_____ç,55.75,37.62,2014
116,Mumbai,India,Asia,146,86,71,52,38,10,54,,,M__mè_baÛ_,18.93,72.85,2014
72,Munich,Germany,Europe,252,103,84,72,49,20,73,,,MÕ_nchen,48.13,11.58,2014
36,Muscat,Oman,Middle East,481,162,109,79,61,32,94,,,»€À_»_Àˆ,23.6,58.583333,2014
48,Namur,Belgium,Europe,251,170,100,86,50,24,87,,,Namen,50.466667,4.866667,2014
103,Naples,Italy,Europe,199,93,69,61,53,20,63,,,Napoli,40.85,14.27,2014
5,Nassau,Bahamas,Caribbean,541,253,220,120,98,37,150,171,24,Nassau,25.06,-77.345,2014
1,New York,United States,North America,669,410,335,269,168,65,246,231,38,New York-Newark,40.72486,-74.08903,2014
